,,Race,Gender,,,,,,,,,,,,,,,,,,,,
4:00 PM,1995,,,,,,,,,,,,,,,,,,,,,,
112,1997,nw,,,,,,,,,,,,,,,,,,,,,
112,2001,nw,m,,,,,,,,,,,,,,,,,,,,
112,2001,nw,m,,,,,,,,,,,,,,,,,,,,
702,1997,,,,,,,,,,,,,,,,,,,,,,
702,1999,,,,,,,,,,,,,,,,,,,,,,
100 proof aged in soul,1970,,,,,,,,,,,,,,,,,,,,,,
10000 maniacs,1994,w,,,,,,,,,,,,,,,,,,,,,
10cc,1975,,,,,,,,,,,,,,,,,,,,,,
10cc,1977,,,,,,,,,,,,,,,,,,,,,,
112 featuring foxy brown,2005,nw,m,,,,,,,,,,,,,,,,,,,,
112 featuring lil zane,1999,nw,m,,,,,,,,,,,,,,,,,,,,
112 featuring the notorious big and mase,1996,nw,m,,,,,,,,,,,,,,,,,,,,
1910 fruitgum company,1968,,,,,,,,,,,,,,,,,,,,,,
1910 fruitgum company,1968,,,,,,,,,,,,,,,,,,,,,,
1910 fruitgum company,1969,,,,,,,,,,,,,,,,,,,,,,
2 chainz,2013,nw,m,,,,,,,,,,,,,,,,,,,,
2 chainz featuring drake,2012,nw,m,,,,,,,,,,,,,,,,,,,,
2 pistols featuring tpain and tay dizm,2008,nw,m,,,,,,,,,,,,,,,,,,,,
20 fingers featuring gillette,1995,,,,,,,,,,,,,,,,,,,,,,
2pac,1993,nw,m,,,,,,,,,,,,,,,,,,,,
2pac,1994,nw,m,,,,,,,,,,,,,,,,,,,,
2pac,1995,nw,m,,,,,,,,,,,,,,,,,,,,
2pac,2003,nw,m,,,,,,,,,,,,,,,,,,,,
2pac featuring eric williams,1998,nw,m,,,,,,,,,,,,,,,,,,,,
2pac featuring kci jojo featuring dr dre,1996,nw,m,,,,,,,,,,,,,,,,,,,,
3 doors down,2000,w,m,,,,,,,,,,,,,,,,,,,,
3 doors down,2001,w,m,,,,,,,,,,,,,,,,,,,,
3 doors down,2001,w,m,,,,,,,,,,,,,,,,,,,,
3 doors down,2003,w,m,,,,,,,,,,,,,,,,,,,,
3 doors down,2003,w,m,,,,,,,,,,,,,,,,,,,,
3 doors down,2004,w,m,,,,,,,,,,,,,,,,,,,,
3 doors down,2005,w,m,,,,,,,,,,,,,,,,,,,,
3 doors down,2008,w,m,,,,,,,,,,,,,,,,,,,,
38 special,1982,,,,,,,,,,,,,,,,,,,,,,
38 special,1989,,,,,,,,,,,,,,,,,,,,,,
3lw,2001,,f,,,,,,,,,,,,,,,,,,,,
3oh3,2009,w,m,,,,,,,,,,,,,,,,,,,,
3oh3 featuring keha,2010,w,m,,,,,,,,,,,,,,,,,,,,
3t,1996,,,,,,,,,,,,,,,,,,,,,,
4 non blondes,1993,,,,,,,,,,,,,,,,,,,,,,
5 seconds of summer,2014,w,m,,,,,,,,,,,,,,,,,,,,
5 seconds of summer,2014,w,m,,,,,,,,,,,,,,,,,,,,
50 cent,2003,nw,m,,,,,,,,,,,,,,,,,,,,
50 cent,2003,nw,m,,,,,,,,,,,,,,,,,,,,
50 cent,2003,nw,m,,,,,,,,,,,,,,,,,,,,
50 cent,2005,nw,m,,,,,,,,,,,,,,,,,,,,
50 cent,2005,nw,m,,,,,,,,,,,,,,,,,,,,
50 cent featuring justin timberlake and timbaland,2007,nw,m,,,,,,,,,,,,,,,,,,,,
50 cent featuring mobb deep,2005,nw,m,,,,,,,,,,,,,,,,,,,,
50 cent featuring nate dogg,2003,nw,m,,,,,,,,,,,,,,,,,,,,
50 cent featuring olivia,2005,nw,m,,,,,,,,,,,,,,,,,,,,
69 boyz,1994,nw,m,,,,,,,,,,,,,,,,,,,,
69 boyz,1995,,,,,,,,,,,,,,,,,,,,,,
8th day,1971,,,,,,,,,,,,,,,,,,,,,,
95 south,1993,,,,,,,,,,,,,,,,,,,,,,
98 degrees,1997,,,,,,,,,,,,,,,,,,,,,,
98 degrees,1998,,,,,,,,,,,,,,,,,,,,,,
98 degrees,1999,w,m,,,,,,,,,,,,,,,,,,,,
98 degrees,1999,,,,,,,,,,,,,,,,,,,,,,
98 degrees,1999,,,,,,,,,,,,,,,,,,,,,,
98 degrees,2000,w,m,,,,,,,,,,,,,,,,,,,,
a flock of seagulls,1982,,,,,,,,,,,,,,,,,,,,,,
a great big world and christina aguilera,2014,w,,,,,,,,,,,,,,,,,,,,,
a taste of honey,1978,,,,,,,,,,,,,,,,,,,,,,
a taste of honey,1981,,,,,,,,,,,,,,,,,,,,,,
aaliyah,1994,nw,f,,,,,,,,,,,,,,,,,,,,
aaliyah,1994,nw,f,,,,,,,,,,,,,,,,,,,,
aaliyah,1996,,,,,,,,,,,,,,,,,,,,,,
